Node,NodeType,ON,Threshold,Calibrated Cosine,Quantized Cosine,Output Data Type
/model.0/conv/Conv,Conv,BPU,0.999952,0.999587,--,si8
/model.0/act/Mul,HzSwish,--,233.843826,0.999377,--,--
/model.1/conv/Conv,Conv,BPU,218.953781,0.999063,--,si8
/model.1/act/Mul,HzSwish,--,311.960022,0.998489,--,--
/model.2/cv1/conv/Conv,Conv,BPU,143.88237,0.998118,--,si8
/model.2/cv1/act/Mul,HzSwish,--,154.610199,0.995722,--,--
/model.2/Split,Split,BPU,21.557478,0.995120,--,si8
/model.2/m.0/cv1/conv/Conv,Conv,BPU,15.950531,0.997196,--,si8
/model.2/m.0/cv1/act/Mul,HzSwish,--,7.665477,0.996722,--,--
/model.2/m.0/cv2/conv/Conv,Conv,BPU,6.233179,0.985927,--,si8
/model.2/m.0/cv2/act/Mul,HzSwish,--,27.966394,0.990477,--,--
/model.2/m.0/Add,Add,BPU,15.950531,0.993641,--,si8
/model.2/Concat,Concat,BPU,21.557478,0.994671,--,si8
/model.2/cv2/conv/Conv,Conv,BPU,21.219147,0.991754,--,si8
/model.2/cv2/act/Mul,HzSwish,--,18.047932,0.980685,--,--
/model.3/conv/Conv,Conv,BPU,8.102289,0.990264,--,si8
/model.3/act/Mul,HzSwish,--,6.240987,0.994751,--,--
/model.4/cv1/conv/Conv,Conv,BPU,3.917006,0.992214,--,si8
/model.4/cv1/act/Mul,HzSwish,--,7.927805,0.992641,--,--
/model.4/Split,Split,BPU,4.27266,0.992425,--,si8
/model.4/m.0/cv1/conv/Conv,Conv,BPU,3.50334,0.988802,--,si8
/model.4/m.0/cv1/act/Mul,HzSwish,--,3.284901,0.993324,--,--
/model.4/m.0/cv2/conv/Conv,Conv,BPU,3.166339,0.989304,--,si8
/model.4/m.0/cv2/act/Mul,HzSwish,--,5.241086,0.990290,--,--
/model.4/m.0/Add,Add,BPU,3.50334,0.992631,--,si8
/model.4/Concat,Concat,BPU,4.27266,0.992578,--,si8
/model.4/cv2/conv/Conv,Conv,BPU,4.895943,0.987882,--,si8
/model.4/cv2/act/Mul,HzSwish,--,5.448245,0.982077,--,--
/model.5/conv/Conv,Conv,BPU,2.053968,0.990864,--,si8
/model.5/act/Mul,HzSwish,--,3.940361,0.994804,--,--
/model.6/cv1/conv/Conv,Conv,BPU,3.318643,0.990279,--,si8
/model.6/cv1/act/Mul,HzSwish,--,3.660669,0.992727,--,--
